Paratomarctus,Paratomarctus temerarius,16.05,25.6965
Paraenhydrocyon,Paraenhydrocyon robustus,35.015,35.015
Osbornodon,Osbornodon iamonensis,28.415,31.015
Leptocyon,Leptocyon tejonensis,18.75,18.75
Canis,Canis lupus,0.0117,4.894
Metatomarctus,Metatomarctus canavus,25.6965,28.415
Leptocyon,Leptocyon gregorii,35.015,35.015
Cynodictis,Cynodictis,47.95,80.1
Protocyon,Protocyon tarijensis,2.9785,2.9785
Aelurodon,Aelurodon ferox,16.05,25.6965
Caedocyon,Caedocyon tedfordi,41.015,41.015
Neovulpavus,Neovulpavus washakius,66.4,66.4
Protepicyon,Protepicyon raki,22.77,22.77
Cynarctus,Cynarctus saxatilis,22.77,22.77
Leptocyon,Leptocyon leidyi,22.77,35.015
Cynarctoides,Cynarctoides acridens,22.77,41.015
Speothos,Speothos,2.59385,2.59385
Mesocyon,Mesocyon temnodon,35.015,50.55
Enhydrocyon,Enhydrocyon,38.7,48.699999999999996
Metalopex,Metalopex bakeri,12.75,12.75
Chrysocyon,Chrysocyon nearcticus,5.800000000000001,5.800000000000001
Cynarctoides,Cynarctoides lemur,35.015,43.95
Phlaocyon,Phlaocyon,28.415,41.015
Vulpes,Vulpes vulpes,0.0117,4.494
Euoplocyon,Euoplocyon spissidens,28.415,28.415
Enhydrocyon,Enhydrocyon pahinsintewakpa,35.015,43.95
Oxetocyon,Oxetocyon,48.699999999999996,48.699999999999996
Hesperocyon,Hesperocyon gregarius,48.699999999999996,59.0
Epicyon,Epicyon saevus,12.75,25.6965
Sunkahetanka,Sunkahetanka geringensis,41.015,43.95
Chrysocyon,Chrysocyon brachyurus,2.588,2.9785
Aelurodon,Aelurodon mcgrewi,22.77,25.6965
Vulpes,Vulpes stenognathus,1.95,22.77
Paracynarctus,Paracynarctus sinclairi,22.77,28.415
Archaeocyon,Archaeocyon falkenbachi,41.015,41.015
Phlaocyon,Phlaocyon taylori,41.015,43.2
Canis,Canis lepophagus,0.13185,12.75
Alopex,Alopex lagopus,0.0117,1.95
Cynodesmus,Cynodesmus martini,41.015,41.015
Aelurodon,Aelurodon stirtoni,18.75,25.6965
Eucyon,Eucyon,6.627000000000001,14.2745
Paracynarctus,Paracynarctus kelloggi,22.77,28.415
Borophagus,Borophagus orc,7.133,12.75
Carpocyon,Carpocyon,22.77,25.6965
Leptocyon,Leptocyon delicatus,41.015,41.015
Cuon,Cuon alpinus,0.13185,2.59385
Alopex,Alopex,5.33885,5.33885
Cerdocyon,Cerdocyon thous,0.0117,0.126
Borophagus,Borophagus,5.800000000000001,25.6965
Urocyon,Urocyon citrinus,5.800000000000001,5.800000000000001
Cynarctus,Cynarctus wangi,22.77,22.77
Borophagus,Borophagus secundus,12.75,25.6965
Psalidocyon,Psalidocyon marianae,22.77,28.415
Philotrox,Philotrox condoni,41.015,43.95
Aelurodon,Aelurodon wheelerianus,28.415,28.415
Canis,Canis edwardii,1.95,25.6965
Leptocyon,Leptocyon vafer,18.75,25.6965
Urocyon,Urocyon,0.13185,18.75
Canis,Canis,0.0117,24.324
Epicyon,Epicyon haydeni,12.75,28.415
Osbornodon,Osbornodon sesnoni,41.015,48.699999999999996
Canis,Canis ferox,5.800000000000001,12.75
Paratomarctus,Paratomarctus euthos,16.05,25.6965
Urocyon,Urocyon minicephalus,1.95,1.95
Ectopocynus,Ectopocynus intermedius,41.015,41.015
Leptocyon,Leptocyon mollis,41.015,41.015
Cynarctoides,Cynarctoides whistleri,28.415,28.415
Chailicyon,Chailicyon crassidens,67.2,67.2
Oxetocyon,Oxetocyon cuspidatus,48.699999999999996,48.699999999999996
Hesperocyoninae,Hesperocyoninae,35.015,43.95
Speothos,Speothos venaticus,0.0117,0.0117
Leptocyon,Leptocyon matthewi,16.05,18.75
Cynodictis,Cynodictis lacustris,54.150000000000006,54.95
Canis,Canis adustus,0.0117,4.894
Aelurodon,Aelurodon montanensis,22.77,22.77
Osbornodon,Osbornodon wangi,41.015,41.015
Borophagus,Borophagus dudleyi,7.133,7.133
Theriodictis,Theriodictis floridanus,5.800000000000001,5.800000000000001
Theriodictis,Theriodictis,0.13185,2.9785
Borophagus,Borophagus hilli,5.800000000000001,25.6965
Cormocyon,Cormocyon,43.95,43.95
Canis,Canis cedazoensis,1.95,1.95
Tomarctus,Tomarctus brevirostris,22.77,28.415
Enhydrocyon,Enhydrocyon stenocephalus,41.015,41.015
Cynodesmus,Cynodesmus thooides,41.015,48.699999999999996
Dusicyon,Dusicyon,0.0117,2.59385
Pseudalopex,Pseudalopex gymnocercus,0.0117,2.9785
Cynarctus,Cynarctus crucidens,14.2745,25.6965
Borophagus,Borophagus littoralis,18.75,25.6965
Canis,Canis mesomelas,0.0117,6.627000000000001
Phlaocyon,Phlaocyon multicuspus,35.015,35.015
Cynarctoides,Cynarctoides emryi,28.415,28.415
Cynarctoides,Cynarctoides roii,41.015,43.95
Chrysocyon,Chrysocyon,2.588,2.588
Xenocyon,Xenocyon lycaonoides,0.8440000000000001,2.9785
Xenocyon,Xenocyon texanus,1.95,1.95
Enhydrocyon,Enhydrocyon basilatus,35.015,35.015
Nyctereutes,Nyctereutes abdeslami,4.894,4.894
Archaeocyon,Archaeocyon pavidus,41.015,48.699999999999996
Metalopex,Metalopex macconnelli,18.75,25.6965
Aelurodon,Aelurodon asthenostylus,22.77,28.415
Desmocyon,Desmocyon thomsoni,25.6965,41.015
Vulpini,Vulpini,0.13185,0.13185
Canis,Canis dirus,0.13185,2.9785
Otocyon,Otocyon megalotis,0.0117,2.59385
